"","sub","item","cond","seq","start","end","duration_ms","correctresp","subresp","accuracy","task","sound"
"190",3,157,2,46,2643217,2645282,2065,1,1,1,"zString","standard"
"191",3,99,3,47,2679076,2681617,2541,3,3,1,"zString","novel"
"192",3,100,3,48,2696865,2698917,2052,4,4,1,"zString","novel"
"193",3,94,3,49,2713966,2716189,2223,2,2,1,"zString","novel"
"194",3,155,2,50,2725845,2728469,2624,3,3,1,"zString","standard"
"195",3,96,3,51,2750913,2753419,2506,4,4,1,"zString","novel"
"196",3,92,3,52,2758496,2760715,2219,4,4,1,"zString","novel"
"197",3,162,2,53,2769985,2772754,2769,2,2,1,"zString","standard"
"198",3,156,2,54,2778200,2780171,1971,4,4,1,"zString","standard"
"199",3,93,3,55,2785138,2787222,2084,1,1,1,"zString","novel"
"200",3,97,3,56,2896243,2898494,2251,1,1,1,"zString","novel"
"201",3,95,3,57,2903643,2906361,2718,3,3,1,"zString","novel"
"202",3,98,3,58,2911773,2914528,2755,2,2,1,"zString","novel"
"203",3,154,2,59,2962827,2965663,2836,2,2,1,"zString","standard"
"204",3,160,2,60,2975967,2978188,2221,4,4,1,"zString","standard"
"205",3,128,1,61,2994094,2996864,2770,4,4,1,"zString","silence"
"206",3,121,1,62,3001612,3003631,2019,1,1,1,"zString","silence"
"207",3,123,1,63,3030330,3032518,2188,3,3,1,"zString","silence"
"208",3,125,1,64,3039079,3041116,2037,1,1,1,"zString","silence"
"209",3,129,1,65,3048029,3051032,3003,1,1,1,"zString","silence"
"210",3,131,1,66,3080785,3083583,2798,3,3,1,"zString","silence"
"211",3,130,1,67,3100208,3102734,2526,2,2,1,"zString","silence"
"212",3,124,1,68,3123800,3126652,2852,4,4,1,"zString","silence"
"213",3,122,1,69,3140168,3142353,2185,2,2,1,"zString","silence"
"214",3,132,1,70,3147834,3150102,2268,4,4,1,"zString","silence"
"215",3,127,1,71,3160743,3162906,2163,3,3,1,"zString","silence"
"216",3,126,1,72,3168193,3171920,3727,2,2,1,"zString","silence"
"217",4,31,2,1,5157822,5159795,1973,3,3,1,"zString","standard"
"218",4,32,2,2,5166690,5168797,2107,4,4,1,"zString","standard"
"219",4,33,2,3,5172589,5175330,2741,1,1,1,"zString","standard"
"220",4,70,3,4,5191657,5195180,3523,2,3,0,"zString","novel"
"221",4,37,2,5,5221893,5224613,2720,1,1,1,"zString","standard"
"222",4,72,3,6,5267263,5271199,3936,4,4,1,"zString","novel"
"223",4,71,3,7,5294362,5296584,2222,3,3,1,"zString","novel"
"224",4,35,2,8,5321268,5323585,2317,3,2,0,"zString","standard"
"225",4,41,2,9,5332003,5334700,2697,1,1,1,"zString","standard"
"226",4,62,3,10,5340617,5342334,1717,2,2,1,"zString","novel"
"227",4,68,3,11,5365985,5368236,2251,4,4,1,"zString","novel"
"228",4,38,2,12,5374619,5376836,2217,2,2,1,"zString","standard"
"229",4,36,2,13,5382172,5383903,1731,4,4,1,"zString","standard"
"230",4,63,3,14,5396608,5401804,5196,3,3,1,"zString","novel"
"231",4,39,2,15,5418622,5421004,2382,3,3,1,"zString","standard"
"232",4,65,3,16,5429477,5432389,2912,1,1,1,"zString","novel"
"233",4,66,3,17,5437140,5439606,2466,2,2,1,"zString","novel"
"234",4,34,2,18,5488065,5490107,2042,2,2,1,"zString","standard"
"235",4,64,3,19,5496462,5498775,2313,4,4,1,"zString","novel"
"236",4,40,2,20,5531119,5533507,2388,4,4,1,"zString","standard"
"237",4,69,3,21,5539514,5542325,2811,1,1,1,"zString","novel"
"238",4,67,3,22,5554199,5556358,2159,3,3,1,"zString","novel"
"239",4,42,2,23,5562525,5564242,1717,2,2,1,"zString","standard"
"240",4,61,3,24,5590300,5592500,2200,1,1,1,"zString","novel"
"241",4,12,1,25,5616845,5619377,2532,4,4,1,"zString","silence"
"242",4,6,1,26,5629200,5631095,1895,2,2,1,"zString","silence"
"243",4,8,1,27,5636650,5638679,2029,4,4,1,"zString","silence"
"244",4,3,1,28,5649588,5651462,1874,3,3,1,"zString","silence"
"245",4,9,1,29,5695555,5697896,2341,1,1,1,"zString","silence"
"246",4,4,1,30,5702324,5704380,2056,4,4,1,"zString","silence"
"247",4,2,1,31,5709040,5711931,2891,2,2,1,"zString","silence"
"248",4,5,1,32,5729661,5731819,2158,1,1,1,"zString","silence"
"249",4,11,1,33,5736655,5739164,2509,3,2,0,"zString","silence"
"250",4,1,1,34,5744974,5748014,3040,1,1,1,"zString","silence"
"251",4,10,1,35,5774757,5776716,1959,2,2,1,"zString","silence"
"252",4,7,1,36,5788482,5790367,1885,3,3,1,"zString","silence"
"253",4,121,2,37,5886013,5888486,2473,1,1,1,"reading","standard"
"254",4,122,2,38,5894564,5897286,2722,2,2,1,"reading","standard"
"255",4,123,2,39,5901809,5904270,2461,3,3,1,"reading","standard"
"256",4,157,3,40,5909072,5911537,2465,1,1,1,"reading","novel"
"257",4,155,3,41,5917963,5920221,2258,3,3,1,"reading","novel"
"258",4,154,3,42,5934551,5936304,1753,2,2,1,"reading","novel"
"259",4,152,3,43,5958552,5961222,2670,4,4,1,"reading","novel"
"260",4,156,3,44,5966968,5970256,3288,4,4,1,"reading","novel"
"261",4,124,2,45,5975236,5977740,2504,4,4,1,"reading","standard"
"262",4,131,2,46,5989983,5993091,3108,3,3,1,"reading","standard"
"263",4,125,2,47,6002767,6004912,2145,1,1,1,"reading","standard"
"264",4,160,3,48,6020133,6022742,2609,4,4,1,"reading","novel"
"265",4,128,2,49,6048420,6051042,2622,4,4,1,"reading","standard"
"266",4,127,2,50,6059374,6061625,2251,3,3,1,"reading","standard"
"267",4,151,3,51,6069635,6071743,2108,3,3,1,"reading","novel"
"268",4,132,2,52,6091986,6094660,2674,4,4,1,"reading","standard"
"269",4,161,3,53,6115704,6120695,4991,1,1,1,"reading","novel"
"270",4,129,2,54,6139321,6141329,2008,1,1,1,"reading","standard"
"271",4,162,3,55,6179495,6182614,3119,2,2,1,"reading","novel"
"272",4,158,3,56,6203488,6205480,1992,2,2,1,"reading","novel"
"273",4,126,2,57,6212640,6214914,2274,2,2,1,"reading","standard"
"274",4,153,3,58,6222341,6224523,2182,1,1,1,"reading","novel"
"275",4,130,2,59,6261009,6263156,2147,2,2,1,"reading","standard"
"276",4,159,3,60,6281671,6284467,2796,3,3,1,"reading","novel"
"277",4,101,1,61,6293172,6295617,2445,1,1,1,"reading","silence"
"278",4,91,1,62,6312555,6315284,2729,3,3,1,"reading","silence"
"279",4,98,1,63,6320842,6323402,2560,2,2,1,"reading","silence"
"280",4,92,1,64,6330041,6332470,2429,4,4,1,"reading","silence"
"281",4,99,1,65,6368341,6372270,3929,3,3,1,"reading","silence"
"282",4,95,1,66,6379828,6381920,2092,3,3,1,"reading","silence"
"283",4,96,1,67,6389754,6392088,2334,4,4,1,"reading","silence"
"284",4,100,1,68,6413097,6415370,2273,4,4,1,"reading","silence"
"285",4,102,1,69,6430204,6433721,3517,2,2,1,"reading","silence"
"286",4,97,1,70,6441634,6443423,1789,1,1,1,"reading","silence"
"287",4,94,1,71,6451433,6453323,1890,2,2,1,"reading","silence"
"288",4,93,1,72,6456749,6458856,2107,1,1,1,"reading","silence"
"289",5,71,1,1,1105242,1109266,4024,3,3,1,"reading","silence"
"290",5,72,1,2,1118248,1121150,2902,4,4,1,"reading","silence"
"291",5,62,1,3,1181361,1185368,4007,2,2,1,"reading","silence"
"292",5,68,1,4,1229563,1233186,3623,4,4,1,"reading","silence"
"293",5,66,1,5,1328125,1331643,3518,2,2,1,"reading","silence"
"294",5,70,1,6,1365096,1369210,4114,2,2,1,"reading","silence"
"295",5,69,1,7,1378109,1381778,3669,1,1,1,"reading","silence"
"296",5,64,1,8,1400948,1405878,4930,4,4,1,"reading","silence"
"297",5,67,1,9,1414947,1418111,3164,3,3,1,"reading","silence"
"298",5,63,1,10,1476205,1479313,3108,3,3,1,"reading","silence"
"299",5,65,1,11,1485703,1489648,3945,1,1,1,"reading","silence"
"300",5,61,1,12,1497769,1501180,3411,1,1,1,"reading","silence"
"301",5,1,2,13,1510302,1513832,3530,1,1,1,"reading","standard"
"302",5,2,2,14,1522703,1525916,3213,2,2,1,"reading","standard"
"303",5,3,2,15,1534309,1537332,3023,3,3,1,"reading","standard"
"304",5,39,3,16,1578470,1582267,3797,1,1,1,"reading","novel"
"305",5,42,3,17,1589910,1593651,3741,4,4,1,"reading","novel"
"306",5,31,3,18,1602304,1606602,4298,1,1,1,"reading","novel"
"307",5,37,3,19,1795529,1798725,3196,3,3,1,"reading","novel"
"308",5,32,3,20,1813851,1816559,2708,2,2,1,"reading","novel"
"309",5,5,2,21,1823531,1826427,2896,1,1,1,"reading","standard"
"310",5,8,2,22,1841630,1845993,4363,4,4,1,"reading","standard"
"311",5,7,2,23,1854069,1856927,2858,3,3,1,"reading","standard"
"312",5,12,2,24,1872561,1875811,3250,4,4,1,"reading","standard"
"313",5,4,2,25,1883864,1887343,3479,4,4,1,"reading","standard"
"314",5,34,3,26,1949101,1952179,3078,4,4,1,"reading","novel"
"315",5,6,2,27,1972819,1976147,3328,2,2,1,"reading","standard"
"316",5,33,3,28,2007040,2009916,2876,3,3,1,"reading","novel"
"317",5,9,2,29,2024453,2027466,3013,1,1,1,"reading","standard"
"318",5,11,2,30,2042090,2045066,2976,3,3,1,"reading","standard"
"319",5,38,3,31,2067140,2069801,2661,4,4,1,"reading","novel"
"320",5,35,3,32,2099661,2103185,3524,1,1,1,"reading","novel"
"321",5,10,2,33,2128673,2132002,3329,2,2,1,"reading","standard"
"322",5,40,3,34,2156509,2159753,3244,2,2,1,"reading","novel"
"323",5,36,3,35,2182709,2185855,3146,2,2,1,"reading","novel"
"324",5,41,3,36,2199525,2202538,3013,3,3,1,"reading","novel"
"325",5,161,1,37,2468451,2471214,2763,1,1,1,"zString","silence"
"326",5,154,1,38,2490368,2493099,2731,2,2,1,"zString","silence"
"327",5,155,1,39,2504088,2506898,2810,3,3,1,"zString","silence"
"328",5,153,1,40,2570908,2575517,4609,1,1,1,"zString","silence"
"329",5,160,1,41,2586878,2589602,2724,4,4,1,"zString","silence"
"330",5,152,1,42,2614577,2616702,2125,4,4,1,"zString","silence"
"331",5,157,1,43,2627698,2630470,2772,1,1,1,"zString","silence"
"332",5,158,1,44,2673099,2675804,2705,2,2,1,"zString","silence"
"333",5,162,1,45,2695117,2697722,2605,2,2,1,"zString","silence"
"334",5,159,1,46,2742461,2745507,3046,3,3,1,"zString","silence"
"335",5,156,1,47,2755533,2757808,2275,4,4,1,"zString","silence"
"336",5,151,1,48,2768385,2770574,2189,3,3,1,"zString","silence"
"337",5,91,2,49,2798483,2800702,2219,3,3,1,"zString","standard"
"338",5,92,2,50,2810666,2813109,2443,4,4,1,"zString","standard"
"339",5,93,2,51,2821499,2823994,2495,1,1,1,"zString","standard"
