"","task","cond","sub","FFD_M","FFD_SD","freq_M","freq_SD","zipf_M","zipf_SD"
"75","reading",2,21,198,39.3398002414976,52500,106657.329567927,4.78,0.779408982866569
"76","reading",2,22,199,70.5496279224774,197000,751038.242504105,4.53,1.10651778912364
"77","reading",2,23,303,152.457228974774,211000,620674.163490931,5.01,0.992325047552464
"78","reading",2,24,216,26.9950975941493,48000,105069.418510357,4.64,0.778000621670871
"79","reading",2,25,224,106.863087020678,43000,98705.0176475274,4.68,0.784164153677927
"80","reading",2,26,319,120.26112614448,42000,92023.8070566859,4.79,0.697995812198149
"81","reading",2,27,214,61.406073660127,22600,29664.2067347606,4.65,0.684483489252169
"82","reading",2,28,272,54.62926566106,143000,619004.971642883,4.72,0.773719372037864
"83","reading",2,29,189,46.2212072538137,72200,170345.290793227,4.67,0.902309767578001
"84","reading",2,30,228,67.5449056977229,74800,131236.003126991,4.73,1.05659966739672
"85","reading",2,31,308,75.3977619748923,26700,40128.7753932877,4.77,0.572384130696854
"86","reading",2,32,247,103.348196274549,73900,126389.963520122,4.98,0.866985800970793
"87","reading",2,33,262,73.4919532579989,43400,82562.0636257973,4.73,0.866495599819139
"88","reading",2,34,226,66.5633820018891,23600,37785.5600696802,4.69,0.628783840160559
"89","reading",2,35,194,34.0086015625041,183000,643676.680137721,5.02,0.880665621424439
"90","reading",2,36,268,68.0096071644784,20000,37143.0301862498,4.4,0.824511572589089
"91","reading",2,37,233,72.5108187829907,43600,84678.5967446932,4.74,0.780965469926418
"92","reading",2,38,187,41.6011553503291,82700,117593.080044902,5.01,0.867334520217243
"93","reading",2,39,204,56.5135466271668,45600,96330.212545034,4.58,0.904879365808872
"94","reading",2,40,303,108.264668574464,29600,71170.9985994619,4.44,0.814001323000248
"95","reading",2,41,199,66.4728766741243,29200,79226.8656528411,4.33,0.867875375077935
"96","reading",2,42,232,75.1165566038766,24400,38603.2897206612,4.51,0.825305188988146
"97","reading",2,43,265,90.109102549736,65500,113564.559807805,4.87,0.81887504576688
