"","task","cond","sub","N1_M","N1_SD"
"304","zString",3,34,210,63.7928633294094
"305","zString",3,35,187,46.535639992093
"306","zString",3,36,366,105.534048461221
"307","zString",3,37,268,42.436511989766
"308","zString",3,38,246,72.6665503256614
"309","zString",3,39,296,133.824096817012
"310","zString",3,40,240,76.9078973534232
"311","zString",3,41,214,45.6989716667237
"312","zString",3,42,239,74.3753351332986
"313","zString",3,43,231,79.6000377380887
"314","zString",3,44,240,57.4787810994618
"315","zString",3,45,273,132.003664041046
"316","zString",3,46,262,76.557670569819
"317","zString",3,47,246,50.9253503114885
"318","zString",3,48,255,61.6008657947814
"319","zString",3,49,218,44.3621460256377
"320","zString",3,50,205,57.7679527388358
"321","zString",3,51,286,124.487138367976
"322","zString",3,52,195,47.0411664930754
"323","zString",3,53,250,38.6020420063346
"324","zString",3,54,281,68.6483112922296
